prediction_date,ps_raw,fold_id,ticker,ps_pct
2016-02-04,0.005273539457658281,0,AAPL,
2016-02-05,0.002455677717398422,0,AAPL,
2016-02-08,0.008931741362719242,0,AAPL,
2016-02-09,0.004163596462048903,0,AAPL,
2016-02-10,0.005888419980744268,0,AAPL,
2016-02-11,0.004572898285788872,0,AAPL,
2016-02-12,0.003926331779965522,0,AAPL,
2016-02-16,0.005438755819355858,0,AAPL,
2016-02-17,0.004924177351481613,0,AAPL,
2016-02-18,0.005304008873774881,0,AAPL,
2016-02-19,0.004673975339130225,0,AAPL,
2016-02-22,0.0067361266473121946,0,AAPL,
2016-02-23,0.003441804616613734,0,AAPL,
2016-02-24,0.005400370647468379,0,AAPL,
2016-02-25,0.0046716544666554755,0,AAPL,
2016-02-26,0.003936034555669982,0,AAPL,
2016-02-29,0.0028515344163909336,0,AAPL,
2016-03-01,0.006589129504251072,0,AAPL,
2016-03-02,0.0024102978959413667,0,AAPL,
2016-03-03,0.00421489847538438,0,AAPL,
2016-03-04,0.00423673806510951,0,AAPL,
2016-03-07,0.0043087510945120575,0,AAPL,
2016-03-08,0.006774723397716435,0,AAPL,
2016-03-09,0.0037772721912336426,0,AAPL,
2016-03-10,0.003799844103341642,0,AAPL,
2016-03-11,0.0030463002792698573,0,AAPL,
2016-03-14,0.003568720878172735,0,AAPL,
2016-03-15,0.004443183441164626,0,AAPL,
2016-03-16,0.002662483305200206,0,AAPL,
2016-03-17,0.0035221158464930503,0,AAPL,
2016-03-18,0.005215270580711349,0,AAPL,
2016-03-21,0.004848565697235514,0,AAPL,
2016-03-22,0.003309847765133241,0,AAPL,
2016-03-23,0.0039633384878339575,0,AAPL,
2016-03-24,0.0031212315035111337,0,AAPL,
2016-03-28,0.0054430408083732855,0,AAPL,
2016-03-29,0.004421202281042842,0,AAPL,
2016-03-30,0.004859887681624085,0,AAPL,
2016-03-31,0.004493202450470427,0,AAPL,
2016-04-01,0.004490337745113222,0,AAPL,
2016-04-04,0.003042384169162772,0,AAPL,
2016-04-05,0.004146316728058767,0,AAPL,
2016-04-06,0.0041577865553818795,0,AAPL,
2016-04-07,0.004387139548636975,0,AAPL,
2016-04-08,0.006291323407028448,0,AAPL,
2016-04-11,0.0037231953313001877,0,AAPL,
2016-04-12,0.004145051784460009,0,AAPL,
2016-04-13,0.0036532670987157725,0,AAPL,
2016-04-14,0.005664749074991147,0,AAPL,
2016-04-15,0.006519311010286418,0,AAPL,
2016-04-18,0.0083473612368349,0,AAPL,
2016-04-19,0.005448088028407775,0,AAPL,
2016-04-20,0.0049182940952469025,0,AAPL,
2016-04-21,0.00472693595971718,0,AAPL,
2016-04-22,0.004762283432737356,0,AAPL,
2016-04-25,0.004144060143901938,0,AAPL,
2016-04-26,0.007808725194904649,0,AAPL,
2016-04-27,0.0051028254065947735,0,AAPL,
2016-04-28,0.007798642919065458,0,AAPL,
2016-04-29,0.011177662901444525,0,AAPL,
2016-05-02,0.006025784585248465,0,AAPL,0.8333333333333334
2016-05-03,0.005411836801509894,0,AAPL,0.7333333333333333
2016-05-04,0.00441351846350283,0,AAPL,0.43333333333333335
2016-05-05,0.005042493531553135,0,AAPL,0.6666666666666666
2016-05-06,0.003702299548157931,0,AAPL,0.18333333333333332
2016-05-09,0.0035186256625109958,0,AAPL,0.13333333333333333
2016-05-10,0.0037273661167322144,0,AAPL,0.23333333333333334
2016-05-11,0.004883012024383849,0,AAPL,0.6333333333333333
2016-05-12,0.008341783451234873,0,AAPL,0.9666666666666667
2016-05-13,0.006146431012498366,0,AAPL,0.8333333333333334
2016-05-16,0.0030924122429417337,0,AAPL,0.08333333333333333
2016-05-17,0.0030075210585273028,0,AAPL,0.05
2016-05-18,0.005300906888431949,0,AAPL,0.7333333333333333
2016-05-19,0.0061220521337025605,0,AAPL,0.8333333333333334
2016-05-20,0.0029625668365383293,0,AAPL,0.05
2016-05-23,0.0021506566232294792,0,AAPL,0.0
2016-05-24,0.0032862055633106424,0,AAPL,0.16666666666666666
2016-05-25,0.0027693322277082726,0,AAPL,0.05
2016-05-26,0.0036041394062318296,0,AAPL,0.25
2016-05-27,0.002949296910840431,0,AAPL,0.05
2016-05-31,0.0036263938408296857,0,AAPL,0.26666666666666666
2016-06-01,0.00417060028233298,0,AAPL,0.4666666666666667
2016-06-02,0.00457445308942467,0,AAPL,0.5833333333333334
2016-06-03,0.0032936834211317275,0,AAPL,0.18333333333333332
2016-06-06,0.003150770184661369,0,AAPL,0.16666666666666666
2016-06-07,0.0033003882265636706,0,AAPL,0.21666666666666667
2016-06-08,0.004267179897553567,0,AAPL,0.48333333333333334
2016-06-09,0.004026466040177069,0,AAPL,0.38333333333333336
2016-06-10,0.0036720866371415238,0,AAPL,0.31666666666666665
2016-06-13,0.0035627202831077873,0,AAPL,0.25
2016-06-14,0.005165293339393559,0,AAPL,0.7333333333333333
2016-06-15,0.002195011084478482,0,AAPL,0.016666666666666666
2016-06-16,0.0032832730637616893,0,AAPL,0.16666666666666666
2016-06-17,0.00799420668686671,0,AAPL,0.95
2016-06-20,0.00494616243050591,0,AAPL,0.6833333333333333
2016-06-21,0.0020698730365902025,0,AAPL,0.0
2016-06-22,0.002917057934559939,0,AAPL,0.06666666666666667
2016-06-23,0.003895043112442346,0,AAPL,0.4
2016-06-24,0.005331148801603219,0,AAPL,0.7666666666666667
