d_decile,n,ps_auc,actual_miscoverage
1,6708,0.5355895478170036,0.06425163983303518
2,4963,0.5199554302816084,0.06749949627241587
3,6616,0.5293805576659675,0.07376058041112454
4,5569,0.524852845608277,0.07451966241695097
5,5456,0.5648763179738295,0.07661290322580645
6,6130,0.5623171191553543,0.08482871125611746
7,5378,0.5572792092114358,0.09613239122350316
8,6232,0.5365917647464352,0.12259306803594351
9,5694,0.5552052169987004,0.1550755180892167
10,5406,0.5716322901133074,0.21402145763965963
