architecture,n,brier,logloss,auc,pr_auc
constant,33024,0.08871817318160363,0.3217864077383279,0.46924623607176164,0.09142881333980156
D,33024,0.08787402312220159,0.31780902390485094,0.59383314634684,0.13799821730515588
PS,33024,0.08780151720624023,0.3171887269803975,0.5917621162674855,0.13805582411246606
D+PS,33024,0.08767516678042138,0.31683029914225697,0.6026474014091626,0.14436879361962746
