reference,challenger,n_dates,mean_brier_improvement,ci_2.5,ci_97.5,probability_improvement_gt_0
constant,D,1376,0.00084415005940205,0.00026835366149949454,0.0015446557253656428,0.9994
constant,PS,1376,0.0009166559753634118,0.0004827954168300072,0.0014363455513589898,1.0
D,D+PS,1376,0.00019885634178020935,5.860813336182091e-05,0.000342452417057858,0.998
