architecture,n_predictions,brier,logloss,auc,pr_auc
constant,33024,0.08871817318160363,0.3217864077383279,0.46924623607176164,0.09142881333980156
D,33024,0.08787402312220159,0.317809023904851,0.59383314634684,0.13799821730515588
D+O,33024,0.087864934349803,0.3179122869862479,0.5957768323548666,0.14153643135962896
D+M,33024,0.08791382700577526,0.31775451542574684,0.5964065228718395,0.13762191471430935
D+W,33024,0.08777513269337879,0.31717027134239273,0.5988704635704915,0.14091228419091872
D+O+M+W,33024,0.08780630445219469,0.3173338398719692,0.6005874359560397,0.14318874210066362
