architecture,mean_brier,median_brier,mean_logloss,mean_auc,median_auc,mean_pr_auc,mean_brier_improvement_pct,positive_brier_years,total_years,positive_year_fraction
D,0.08996471462746759,0.09082800665283751,0.3237881261336243,0.5897607546480172,0.5847876076188077,0.1443137442422883,0.8664369414430265,6,6,1.0
D+M,0.08999494313064928,0.09071556680443774,0.32367832713849487,0.5915987578463379,0.5852851208753487,0.14329043552060394,0.8131630446772132,5,6,0.8333333333333334
D+O,0.08997717886327067,0.09053598889558856,0.32404056187178654,0.592648627375387,0.587935799048519,0.15068809075748932,0.8477677454693594,5,6,0.8333333333333334
D+O+M+W,0.08994647414273153,0.09045362810531356,0.3235029609738748,0.5921152009764334,0.5853982515274783,0.1471173046949477,0.9178320659625917,5,6,0.8333333333333334
D+W,0.0898996765024167,0.09074820828401706,0.32323014247093895,0.5879065554528926,0.5813190896408704,0.14315034855647782,0.9879258096273151,5,6,0.8333333333333334
