reference,challenger,n_dates,mean_brier_improvement,ci_2.5,ci_97.5,bootstrap_probability_improvement_gt_0
constant,D,1376,0.0008441500594020493,0.0002683536614994945,0.0015446557253656413,0.9994
D,D+O,1376,9.088772398589804e-06,-0.00015569582194675726,0.00020520209569907765,0.5572
D,D+M,1376,-3.980388357365068e-05,-0.00018804973778738278,0.00011160727777751383,0.2938
D,D+W,1376,9.8890428822797e-05,-8.941752441911842e-05,0.00032996618238948926,0.8418
D,D+O+M+W,1376,6.77186700068964e-05,-0.0001868019790812338,0.00040632360485137145,0.693
