test_year,architecture,features,n_train,n_test,train_prevalence,test_prevalence,brier,logloss,auc,pr_auc,brier_vs_constant,brier_improvement_pct
2021,constant,,25104,6048,0.10671606118546845,0.08531746031746032,0.07849629140154722,0.2941275958780446,0.5,0.08531746031746032,,
2021,D,disagreement_pct,25104,6048,0.10671606118546845,0.08531746031746032,0.07777424814479722,0.2893670118087202,0.6050275843997153,0.1291264605680807,-0.0007220432567500018,0.9198437835188857
2021,D+O,"disagreement_pct,novelty_pct",25104,6048,0.10671606118546845,0.08531746031746032,0.07769574976601315,0.2886236070106076,0.6143535217228023,0.13526012821097716,-0.0008005416355340716,1.0198464427305318
2021,D+M,"disagreement_pct,ewma_miscoverage_pct",25104,6048,0.10671606118546845,0.08531746031746032,0.07796135106320637,0.2895296177350436,0.6088362914571738,0.12656926873145832,-0.000534940338340853,0.6814848558951269
2021,D+W,"disagreement_pct,interval_width_pct",25104,6048,0.10671606118546845,0.08531746031746032,0.07760320440062216,0.28864902225861677,0.6046418792424063,0.12667620032894622,-0.0008930870009250663,1.137744197820106
2021,D+O+M+W,"disagreement_pct,novelty_pct,ewma_miscoverage_pct,interval_width_pct",25104,6048,0.10671606118546845,0.08531746031746032,0.07766318332815199,0.28818274104794805,0.6146991149450414,0.13219638725923227,-0.0008331080733952334,1.0613343108574071
2022,constant,,31152,6024,0.1024653312788906,0.11620185922974767,0.10288767934144227,0.36027635105916017,0.5,0.11620185922974767,,
2022,D,disagreement_pct,31152,6024,0.1024653312788906,0.11620185922974767,0.1019845502598495,0.3575116066426216,0.5888782601695824,0.15591133037736535,-0.0009031290815927767,0.8777815646863405
2022,D+O,"disagreement_pct,novelty_pct",31152,6024,0.1024653312788906,0.11620185922974767,0.1022072248271482,0.3588993719455081,0.587905307502415,0.15705551053827776,-0.0006804545142940766,0.6613566548001587
2022,D+M,"disagreement_pct,ewma_miscoverage_pct",31152,6024,0.1024653312788906,0.11620185922974767,0.10207705914113296,0.35811328383213525,0.5912241064720404,0.15712489141603364,-0.0008106202003093088,0.7878690679951977
