date,label_fwd_miscov_5d,label_fwd_miscov_10d,label_fwd_miscov_20d,ticker
2016-03-18,0.0,0.0,0.0,AAPL
2016-03-21,0.0,0.0,0.0,AAPL
2016-03-22,0.0,0.0,0.0,AAPL
2016-03-23,0.0,0.0,0.0,AAPL
2016-03-24,0.0,0.0,0.0,AAPL
2016-03-28,0.0,0.0,0.0,AAPL
2016-03-29,0.0,0.0,0.05,AAPL
2016-03-30,0.0,0.0,0.1,AAPL
2016-03-31,0.0,0.0,0.1,AAPL
2016-04-01,0.0,0.0,0.1,AAPL
2016-04-04,0.0,0.0,0.1,AAPL
2016-04-05,0.0,0.0,0.1,AAPL
2016-04-06,0.0,0.0,0.1,AAPL
2016-04-07,0.0,0.0,0.1,AAPL
2016-04-08,0.0,0.0,0.1,AAPL
2016-04-11,0.0,0.0,0.1,AAPL
2016-04-12,0.0,0.1,0.1,AAPL
2016-04-13,0.0,0.2,0.1,AAPL
2016-04-14,0.0,0.2,0.1,AAPL
2016-04-15,0.0,0.2,0.15,AAPL
2016-04-18,0.0,0.2,0.15,AAPL
2016-04-19,0.2,0.2,0.15,AAPL
2016-04-20,0.4,0.2,0.15,AAPL
2016-04-21,0.4,0.2,0.15,AAPL
2016-04-22,0.4,0.2,0.15,AAPL
2016-04-25,0.4,0.2,0.15,AAPL
2016-04-26,0.2,0.1,0.1,AAPL
2016-04-27,0.0,0.0,0.05,AAPL
2016-04-28,0.0,0.0,0.05,AAPL
2016-04-29,0.0,0.1,0.05,AAPL
2016-05-02,0.0,0.1,0.05,AAPL
2016-05-03,0.0,0.1,0.05,AAPL
2016-05-04,0.0,0.1,0.05,AAPL
2016-05-05,0.0,0.1,0.05,AAPL
2016-05-06,0.2,0.1,0.05,AAPL
2016-05-09,0.2,0.1,0.05,AAPL
2016-05-10,0.2,0.1,0.05,AAPL
2016-05-11,0.2,0.1,0.05,AAPL
2016-05-12,0.2,0.1,0.05,AAPL
2016-05-13,0.0,0.0,0.0,AAPL
2016-05-16,0.0,0.0,0.0,AAPL
2016-05-17,0.0,0.0,0.0,AAPL
2016-05-18,0.0,0.0,0.0,AAPL
2016-05-19,0.0,0.0,0.0,AAPL
