signal,column,n,actual_miscov,mean_signal,roc_auc,spearman_miscov,spearman_miscov_pvalue,spearman_abs_error,spearman_error_pvalue
M,ewma_miscoverage_pct,14952,0.10767790262172285,0.47148207597645797,0.5746052255474935,0.08028509517466541,8.182495312143357e-23,0.057425752465015995,2.108107392688091e-12
W,interval_width_pct,14952,0.10767790262172285,0.4554569065453897,0.5569207266829356,0.06128436585579817,6.37322396147567e-14,0.06830601757005851,6.196958986970495e-17
