signal,year,n,actual_miscov,mean_signal,roc_auc
M,2024,6048,0.10218253968253968,0.47567791005291005,0.5490967715019639
M,2025,6000,0.10333333333333333,0.4574472222222222,0.6131100851421034
M,2026,2904,0.128099173553719,0.4917412764003673,0.5441955868113948
W,2024,6048,0.10218253968253968,0.4361496913580247,0.5251121958197
W,2025,6000,0.10333333333333333,0.4190236111111111,0.6013858076507974
W,2026,2904,0.128099173553719,0.5709423783287418,0.5009544497103738
