ticker,n,actual_miscov,roc_auc,spearman_novelty_abs_error,pvalue_abs_error
AAPL,623,0.11235955056179775,0.6051537070524413,0.09984150343094435,0.01265731104321442
AMZN,623,0.1043338683788122,0.6191342707471741,0.11128736425622404,0.00542262990165454
BA,623,0.11235955056179775,0.6320976491862567,0.07969125979989235,0.04678298117863543
BAC,623,0.09630818619582665,0.6274274718768502,0.05817505585848257,0.14695817675989487
CAT,623,0.1187800963081862,0.5587185546201939,0.13155176112352457,0.0009974413137060587
CVX,623,0.1043338683788122,0.5005238489109457,-0.020979770266086648,0.601210684829433
DIS,623,0.09951845906902086,0.6473894543154504,0.11923704453569921,0.002874810026355239
GME,623,0.08025682182985554,0.7360558464223386,0.15535403541312626,9.880517089620478e-05
GOOGL,623,0.11075441412520064,0.5669047245330403,0.04121811581605473,0.3043388776525089
GS,623,0.11075441412520064,0.6070606393554127,0.12206786548319039,0.0022723724516456887
JNJ,623,0.11556982343499198,0.533915607985481,0.030890828069013707,0.44149607449436873
JPM,623,0.11717495987158909,0.5806724782067247,0.07025774456871096,0.07972652166606936
KO,623,0.11396468699839486,0.5771968769136558,-0.00691311179709825,0.8632751277135174
MCD,623,0.10754414125200643,0.6256442607108343,0.04442279217031348,0.2682458160733976
MSFT,623,0.11396468699839486,0.590184221269647,0.11946110549675204,0.002822293915076869
NFLX,623,0.10272873194221509,0.6398423524150268,0.08380468995826323,0.03650642992114595
NVDA,623,0.10272873194221509,0.5665669722719142,0.009109358278874569,0.8204879882860912
PFE,623,0.09470304975922954,0.5651971390792163,0.09260480108776956,0.020792004496653742
PG,623,0.11075441412520064,0.5638309004342594,0.021358214975139254,0.5946633538460745
TSLA,623,0.09951845906902086,0.5333362083836467,0.11556891473669134,0.003870996962378686
UNH,623,0.11075441412520064,0.5911813948621358,0.13467956586365828,0.0007511008312778715
V,623,0.11235955056179775,0.5260785326788944,0.047946070090592596,0.2320806455331363
WMT,623,0.12199036918138041,0.5800659097469452,0.07109800318634307,0.07618156667088992
XOM,623,0.11075441412520064,0.5037801496363731,0.012676004596451766,0.7521771271174382
