prediction_date,ticker,feature_novelty,feature_novelty_pct
2011-07-25,AAPL,0.8549111766991591,0.5333333333333333
2011-07-26,AAPL,0.6614116609773716,0.4166666666666667
2011-07-27,AAPL,1.2691852355609266,0.8333333333333334
2011-07-28,AAPL,1.1458807694545632,0.7
2011-07-29,AAPL,1.2659890383939305,0.8166666666666667
2011-08-01,AAPL,1.0281628558233837,0.55
2011-08-02,AAPL,1.1617425554219172,0.6833333333333333
2011-08-03,AAPL,1.1635543716937398,0.6833333333333333
2011-08-04,AAPL,2.047211028193557,1.0
2011-08-05,AAPL,2.2164575613034803,1.0
2011-08-08,AAPL,3.9946840143735214,1.0
2011-08-09,AAPL,3.0976238084942254,0.9833333333333333
2011-08-10,AAPL,3.4953607024888047,0.9833333333333333
2011-08-11,AAPL,3.149717971350761,0.9666666666666667
2011-08-12,AAPL,2.7955558269472527,0.9333333333333333
2011-08-15,AAPL,2.6838902706490724,0.9166666666666666
2011-08-16,AAPL,2.5208783287230747,0.9
2011-08-17,AAPL,2.152579304401704,0.8666666666666667
2011-08-18,AAPL,2.6625293059335564,0.9
2011-08-19,AAPL,2.4771194815138906,0.8666666666666667
2011-08-22,AAPL,2.358492524149283,0.85
2011-08-23,AAPL,2.1996837305202273,0.8166666666666667
2011-08-24,AAPL,1.894271097365617,0.7666666666666667
2011-08-25,AAPL,1.7063175144064413,0.75
2011-08-26,AAPL,1.4304557727058442,0.65
2011-08-29,AAPL,1.2540510141366294,0.5
2011-08-30,AAPL,1.0749363053519452,0.2833333333333333
2011-08-31,AAPL,0.7080330693810328,0.13333333333333333
2011-09-01,AAPL,0.99161374976501,0.23333333333333334
2011-09-02,AAPL,0.8810853274412247,0.18333333333333332
2011-09-06,AAPL,0.6608039971926646,0.03333333333333333
2011-09-07,AAPL,0.8278836644998672,0.15
2011-09-08,AAPL,0.4903864785470266,0.0
2011-09-09,AAPL,0.5317146703626223,0.016666666666666666
2011-09-12,AAPL,0.6671023825143214,0.1
2011-09-13,AAPL,0.4924009417178905,0.016666666666666666
2011-09-14,AAPL,0.31943146672560946,0.0
2011-09-15,AAPL,0.4016211597249354,0.016666666666666666
2011-09-16,AAPL,0.4990372685253757,0.06666666666666667
2011-09-19,AAPL,0.6757506497961889,0.2
2011-09-20,AAPL,0.5402994879999459,0.1
2011-09-21,AAPL,0.317196164988538,0.0
2011-09-22,AAPL,0.9133703943296859,0.36666666666666664
2011-09-23,AAPL,0.7062383019753147,0.26666666666666666
2011-09-26,AAPL,0.5767457983585407,0.15
2011-09-27,AAPL,0.36594881782953037,0.03333333333333333
2011-09-28,AAPL,0.5152029232547662,0.11666666666666667
2011-09-29,AAPL,0.7265430680467412,0.35
2011-09-30,AAPL,0.6339427712415723,0.21666666666666667
2011-10-03,AAPL,0.7088237486679991,0.36666666666666664
2011-10-04,AAPL,0.9473172189854825,0.48333333333333334
2011-10-05,AAPL,0.4054353264806298,0.06666666666666667
2011-10-06,AAPL,0.7374672493013051,0.4166666666666667
2011-10-07,AAPL,0.6014714948124158,0.21666666666666667
2011-10-10,AAPL,0.9476356687844243,0.5166666666666667
2011-10-11,AAPL,0.9262188538126738,0.48333333333333334
2011-10-12,AAPL,0.6082697602908074,0.23333333333333334
2011-10-13,AAPL,0.6338853907368689,0.25
2011-10-14,AAPL,0.8295231780829283,0.4666666666666667
2011-10-17,AAPL,0.9213826746606038,0.5166666666666667
2011-10-18,AAPL,0.5379196918281733,0.16666666666666666
2011-10-19,AAPL,1.1007555758337195,0.6166666666666667
2011-10-20,AAPL,0.991959191342361,0.5666666666666667
2011-10-21,AAPL,0.6987087036751927,0.3333333333333333
2011-10-24,AAPL,0.9742988798615175,0.5666666666666667
2011-10-25,AAPL,0.7853823909906856,0.43333333333333335
2011-10-26,AAPL,0.9911294009730737,0.6
2011-10-27,AAPL,0.6227141459869014,0.25
2011-10-28,AAPL,0.8080638490623291,0.4666666666666667
2011-10-31,AAPL,0.6005948090586942,0.21666666666666667
2011-11-01,AAPL,0.44758070454227583,0.08333333333333333
2011-11-02,AAPL,0.9981502828075806,0.7166666666666667
2011-11-03,AAPL,0.4175254847249108,0.08333333333333333
2011-11-04,AAPL,0.48568695009161894,0.11666666666666667
2011-11-07,AAPL,0.7099450591255714,0.48333333333333334
2011-11-08,AAPL,0.7113933759891489,0.5
2011-11-09,AAPL,0.6347863464305971,0.36666666666666664
2011-11-10,AAPL,0.860453716533793,0.6333333333333333
2011-11-11,AAPL,0.6123427792247363,0.31666666666666665
2011-11-14,AAPL,0.28503761451571413,0.0
2011-11-15,AAPL,0.643295359113929,0.4166666666666667
2011-11-16,AAPL,0.6783260436344817,0.48333333333333334
2011-11-17,AAPL,0.6399864663777571,0.4166666666666667
2011-11-18,AAPL,0.3869310442211776,0.06666666666666667
2011-11-21,AAPL,0.446910886352972,0.13333333333333333
2011-11-22,AAPL,0.6648485013546994,0.5
2011-11-23,AAPL,0.7201889029669358,0.6666666666666666
2011-11-25,AAPL,0.7254127889539184,0.6833333333333333
2011-11-28,AAPL,0.5733608185666078,0.3
2011-11-29,AAPL,0.6643192323798462,0.5166666666666667
2011-11-30,AAPL,0.7606914033402803,0.75
2011-12-01,AAPL,0.7398861666993786,0.7333333333333333
2011-12-02,AAPL,0.571426692887545,0.3
2011-12-05,AAPL,0.6366615860355708,0.4666666666666667
2011-12-06,AAPL,0.4860512518869938,0.18333333333333332
2011-12-07,AAPL,0.6121178400295184,0.38333333333333336
2011-12-08,AAPL,0.48956248194553004,0.2
2011-12-09,AAPL,0.5722070843621909,0.2833333333333333
2011-12-12,AAPL,0.8227431246796322,0.8
2011-12-13,AAPL,0.6468837436585647,0.5
2011-12-14,AAPL,0.8353005317524954,0.8166666666666667
2011-12-15,AAPL,0.831252259320693,0.8
2011-12-16,AAPL,0.8071876168297981,0.7333333333333333
2011-12-19,AAPL,0.7274098248054593,0.6666666666666666
2011-12-20,AAPL,0.9389190516510026,0.8833333333333333
2011-12-21,AAPL,1.0703061381222194,0.9833333333333333
2011-12-22,AAPL,0.8065641318196997,0.7
2011-12-23,AAPL,0.8131034735163443,0.7333333333333333
2011-12-27,AAPL,0.7962502806979269,0.6666666666666666
2011-12-28,AAPL,1.0532143146388886,0.9666666666666667
2011-12-29,AAPL,0.9019053645855293,0.8
2011-12-30,AAPL,0.8194353610932652,0.7166666666666667
2012-01-03,AAPL,0.8857102606480431,0.8
2012-01-04,AAPL,0.8196196608697958,0.7
2012-01-05,AAPL,1.1914238200747076,1.0
2012-01-06,AAPL,1.0341190261341078,0.9333333333333333
2012-01-09,AAPL,1.1707789417028471,0.9833333333333333
2012-01-10,AAPL,0.8449262607603076,0.75
2012-01-11,AAPL,0.6837327571784435,0.4
2012-01-12,AAPL,0.7278333741083324,0.5166666666666667
2012-01-13,AAPL,0.7216457529619574,0.48333333333333334
2012-01-17,AAPL,0.7086485331229329,0.4166666666666667
2012-01-18,AAPL,0.9299112638418039,0.8333333333333334
2012-01-19,AAPL,0.7588371747003623,0.5666666666666667
2012-01-20,AAPL,1.3887342242896727,1.0
2012-01-23,AAPL,0.9135034385461669,0.8333333333333334
2012-01-24,AAPL,1.8624072819428998,1.0
2012-01-25,AAPL,3.6912475311705597,1.0
2012-01-26,AAPL,1.3349072517010103,0.95
2012-01-27,AAPL,0.6295979577447979,0.23333333333333334
2012-01-30,AAPL,0.7228791433698235,0.4666666666666667
2012-01-31,AAPL,0.7559524995903928,0.5333333333333333
2012-02-01,AAPL,1.3340985448413314,0.9333333333333333
2012-02-02,AAPL,0.6572822234075516,0.2833333333333333
2012-02-03,AAPL,0.604296995896227,0.13333333333333333
2012-02-06,AAPL,0.6579055517016417,0.3
2012-02-07,AAPL,0.5419690204191754,0.08333333333333333
2012-02-08,AAPL,1.4097069166476652,0.9666666666666667
2012-02-09,AAPL,2.30106335897976,0.9833333333333333
2012-02-10,AAPL,1.2898270601577384,0.8833333333333333
2012-02-13,AAPL,0.7008901002951171,0.35
2012-02-14,AAPL,0.5525646838968474,0.08333333333333333
2012-02-15,AAPL,2.8270018436934055,0.9833333333333333
2012-02-16,AAPL,1.4431271751599255,0.9333333333333333
2012-02-17,AAPL,0.38082713321389994,0.0
2012-02-21,AAPL,0.6966343069621723,0.3
2012-02-22,AAPL,0.6340824110453464,0.18333333333333332
2012-02-23,AAPL,0.865336851259065,0.6666666666666666
2012-02-24,AAPL,0.8237217500978665,0.6
2012-02-27,AAPL,0.41372952616599185,0.016666666666666666
2012-02-28,AAPL,0.7744261887358502,0.4666666666666667
2012-02-29,AAPL,1.0144215789738937,0.75
2012-03-01,AAPL,0.8700947438654673,0.65
2012-03-02,AAPL,0.5709957514176546,0.1
2012-03-05,AAPL,0.8528032529926911,0.6166666666666667
2012-03-06,AAPL,1.0132183545302096,0.7333333333333333
2012-03-07,AAPL,0.4766607214597439,0.03333333333333333
2012-03-08,AAPL,0.5331975913172043,0.05
2012-03-09,AAPL,0.6513019453557541,0.18333333333333332
2012-03-12,AAPL,0.9458721959722544,0.7166666666666667
2012-03-13,AAPL,0.9466602633572152,0.7166666666666667
2012-03-14,AAPL,1.5258763622963696,0.9333333333333333
2012-03-15,AAPL,1.299398906962328,0.8333333333333334
2012-03-16,AAPL,0.7678561400702782,0.38333333333333336
2012-03-19,AAPL,1.06336957536069,0.75
2012-03-20,AAPL,0.9368022294877709,0.6333333333333333
2012-03-21,AAPL,1.018586786185857,0.7166666666666667
2012-03-22,AAPL,0.8136185360808973,0.43333333333333335
2012-03-23,AAPL,0.7759727495961588,0.4
2012-03-26,AAPL,0.8759153619977103,0.55
2012-03-27,AAPL,0.791766435132106,0.4166666666666667
2012-03-28,AAPL,1.0008232617081265,0.6833333333333333
2012-03-29,AAPL,0.7901923669742738,0.4166666666666667
2012-03-30,AAPL,0.8965009542565628,0.5833333333333334
2012-04-02,AAPL,1.0739360138516039,0.7666666666666667
2012-04-03,AAPL,0.7217401616865224,0.3
2012-04-04,AAPL,0.6107756600244363,0.13333333333333333
2012-04-05,AAPL,0.6996849962227524,0.26666666666666666
2012-04-09,AAPL,0.6964440937074236,0.25
2012-04-10,AAPL,0.8394936543660672,0.5333333333333333
2012-04-11,AAPL,0.5883384939793067,0.11666666666666667
2012-04-12,AAPL,0.5146266561729406,0.05
2012-04-13,AAPL,0.9599504260831485,0.7
2012-04-16,AAPL,1.5419485984748686,0.9333333333333333
2012-04-17,AAPL,1.8605872606005127,0.9333333333333333
2012-04-18,AAPL,1.38145807113532,0.85
2012-04-19,AAPL,1.532977629940523,0.9
2012-04-20,AAPL,1.8190447332707207,0.9333333333333333
2012-04-23,AAPL,1.715314823930763,0.9333333333333333
2012-04-24,AAPL,1.6239507615340723,0.9166666666666666
2012-04-25,AAPL,2.936717538653694,1.0
2012-04-26,AAPL,3.018425836060139,1.0
2012-04-27,AAPL,2.59754065713208,0.95
2012-04-30,AAPL,2.624607202142973,0.95
2012-05-01,AAPL,2.3168356011310305,0.9166666666666666
2012-05-02,AAPL,2.490494279933331,0.9166666666666666
2012-05-03,AAPL,1.9858945472027412,0.8666666666666667
2012-05-04,AAPL,1.9563796323723242,0.85
2012-05-07,AAPL,1.8052833602709728,0.8
2012-05-08,AAPL,1.2993846195453138,0.6666666666666666
2012-05-09,AAPL,1.7553116460269838,0.8
2012-05-10,AAPL,0.8898450817232126,0.45
2012-05-11,AAPL,0.932709646363823,0.4666666666666667
2012-05-14,AAPL,1.089276899114011,0.65
2012-05-15,AAPL,0.7757972483307549,0.26666666666666666
2012-05-16,AAPL,0.7366029427083745,0.21666666666666667
2012-05-17,AAPL,1.0921008095688327,0.6666666666666666
2012-05-18,AAPL,1.2277451157719605,0.6666666666666666
2012-05-21,AAPL,1.4276243624490026,0.7166666666666667
2012-05-22,AAPL,1.4222695997867598,0.7
2012-05-23,AAPL,0.8308178005365778,0.3
2012-05-24,AAPL,0.9374511106744478,0.43333333333333335
2012-05-25,AAPL,0.5581731909020325,0.05
2012-05-29,AAPL,1.386451314520261,0.6833333333333333
2012-05-30,AAPL,0.8154709280911454,0.2833333333333333
2012-05-31,AAPL,0.8478522222843518,0.3333333333333333
2012-06-01,AAPL,1.0569395386685092,0.5333333333333333
2012-06-04,AAPL,0.8447643818195926,0.31666666666666665
2012-06-05,AAPL,1.3849284930749586,0.6666666666666666
2012-06-06,AAPL,0.5467431613809026,0.016666666666666666
2012-06-07,AAPL,0.7010804648549213,0.11666666666666667
2012-06-08,AAPL,0.6796154117339919,0.08333333333333333
2012-06-11,AAPL,0.6275026985276113,0.08333333333333333
2012-06-12,AAPL,0.6159337856278845,0.08333333333333333
