year,n,actual_miscov,mean_novelty_pct,roc_auc
2024,6048,0.10218253968253968,0.5053902116402116,0.5835113864602144
2025,6000,0.10333333333333333,0.513025,0.6174503837390575
2026,2904,0.128099173553719,0.46320592286501383,0.5419612826784895
