mean_brier_D,mean_brier_D_PS,mean_improvement,median_improvement,positive_years,n_years,mean_auc_D,mean_auc_D_PS,positive_fraction,auc,cov_window,scale,n_perturbations
0.08996471462746762,0.08982419895159721,0.00014051567587039285,0.00011696354766206618,6,6,0.5897607546480172,0.5936713532111297,1.0,0.5999336667641393,40.0,0.25,20.0
0.08996471462746762,0.0898362277515028,0.0001284868759648163,0.00010061557690376616,6,6,0.5897607546480172,0.5933198775981493,1.0,0.6016424783265195,40.0,0.25,30.0
0.08996471462746762,0.08981062845871994,0.00015408616874767098,0.00014296727718295793,6,6,0.5897607546480172,0.5944024650693303,1.0,0.6049880240531393,40.0,0.25,50.0
0.08996471462746762,0.08973899625875743,0.0002257183687101802,0.00022262056154354753,6,6,0.5897607546480172,0.5961808673310823,1.0,0.606335699231774,40.0,0.5,20.0
0.08996471462746762,0.08975909169639328,0.0002056229310743382,0.0001933458400702262,5,6,0.5897607546480172,0.5954235727955679,0.8333333333333334,0.6084067631921083,40.0,0.5,30.0
0.08996471462746762,0.08980055774419839,0.00016415688326922723,0.00015485033627003764,5,6,0.5897607546480172,0.594092730122136,0.8333333333333334,0.6093952707588075,40.0,0.5,50.0
0.08996471462746762,0.08969927099563507,0.0002654436318325464,0.0002155054596872999,6,6,0.5897607546480172,0.5969255380574289,1.0,0.6001256906561334,40.0,1.0,20.0
0.08996471462746762,0.0896756446072811,0.0002890700201865215,0.00028496716861917126,5,6,0.5897607546480172,0.5979834931073656,0.8333333333333334,0.6051410100588186,40.0,1.0,30.0
0.08996471462746762,0.08963394156883042,0.00033077305863718026,0.0003989738145962485,5,6,0.5897607546480172,0.5987534175136884,0.8333333333333334,0.6097772108748611,40.0,1.0,50.0
0.08996471462746762,0.08980827998843481,0.00015643463903281205,0.0001633490162834053,5,6,0.5897607546480172,0.5942959016643734,0.8333333333333334,0.6008864925625065,60.0,0.25,20.0
0.08996471462746762,0.08979407536702662,0.00017063926044099767,0.00016470851963497346,5,6,0.5897607546480172,0.5949454999907555,0.8333333333333334,0.6050525832947784,60.0,0.25,30.0
0.08996471462746762,0.08980962836787287,0.0001550862595947449,0.00014909794164987694,5,6,0.5897607546480172,0.5949492409804019,0.8333333333333334,0.6070199435324588,60.0,0.25,50.0
0.08996471462746762,0.08975918750713797,0.00020552712032963447,0.0002510755848684765,5,6,0.5897607546480172,0.5965352539667763,0.8333333333333334,0.6057020373464416,60.0,0.5,20.0
0.08996471462746762,0.08974960547438889,0.00021510915307871212,0.00019855730431292407,6,6,0.5897607546480172,0.5967653565771845,1.0,0.6094726585110997,60.0,0.5,30.0
0.08996471462746762,0.08972159014974278,0.00024312447772484544,0.00028218891362116055,5,6,0.5897607546480172,0.5980804948073282,0.8333333333333334,0.614765531132061,60.0,0.5,50.0
0.08996471462746762,0.08969283948799345,0.0002718751394741638,0.0002949775249688896,5,6,0.5897607546480172,0.5965401867118284,0.8333333333333334,0.5989309078090477,60.0,1.0,20.0
0.08996471462746762,0.08974201967689614,0.00022269495057146657,0.00023729774098441708,4,6,0.5897607546480172,0.5952493367802469,0.6666666666666666,0.6010244890922483,60.0,1.0,30.0
0.08996471462746762,0.0896821626420875,0.0002825519853801121,0.0003818500627678634,4,6,0.5897607546480172,0.5976828480695552,0.6666666666666666,0.608417626161094,60.0,1.0,50.0
0.08996471462746762,0.08986496832409391,9.97463033737082e-05,6.357405802373539e-05,4,6,0.5897607546480172,0.5931337800003277,0.6666666666666666,0.6000471836594897,120.0,0.25,20.0
0.08996471462746762,0.08981917929068539,0.0001455353367822293,0.00010058200835990488,6,6,0.5897607546480172,0.5941459722708385,1.0,0.6022676417071235,120.0,0.25,30.0
0.08996471462746762,0.08981105036051142,0.00015366426695618643,0.00012149409864280897,5,6,0.5897607546480172,0.5946492542756555,0.8333333333333334,0.6041556922577671,120.0,0.25,50.0
0.08996471462746762,0.08978545881959109,0.00017925580787652115,0.000187197730367461,4,6,0.5897607546480172,0.5954604128797364,0.6666666666666666,0.6043694049410946,120.0,0.5,20.0
0.08996471462746762,0.08975583945555415,0.00020887517191345065,0.00023173042925087733,5,6,0.5897607546480172,0.5961801543642619,0.8333333333333334,0.6072612593979057,120.0,0.5,30.0
0.08996471462746762,0.08970569952370423,0.0002590151037633719,0.0002764052853713034,6,6,0.5897607546480172,0.5981312063893635,1.0,0.6123505312964106,120.0,0.5,50.0
0.08996471462746762,0.0896370157536512,0.0003276988738164048,0.0002874106970603349,6,6,0.5897607546480172,0.5969240014836797,1.0,0.5946609227757187,120.0,1.0,20.0
0.08996471462746762,0.0896013611231855,0.0003633535042821175,0.0003305208285407646,6,6,0.5897607546480172,0.5982099080533916,1.0,0.6008080017165752,120.0,1.0,30.0
0.08996471462746762,0.08953894511682857,0.0004257695106390444,0.00044317664879972574,6,6,0.5897607546480172,0.6009329089134026,1.0,0.6092211935381441,120.0,1.0,50.0
