date,ks_stat,miscoverage,disagreement,ticker,label_fwd_miscov_5d,label_fwd_miscov_10d,label_fwd_miscov_20d
2016-03-18,,,0.0030124441825445,AAPL,0.0,0.0,0.0
2016-03-21,,,0.0026364436138225,AAPL,0.0,0.0,0.0
2016-03-22,,,0.0030799007241708,AAPL,0.0,0.0,0.0
2016-03-23,,,0.0033053856095504,AAPL,0.0,0.0,0.0
2016-03-24,,,0.0019644421159742,AAPL,0.0,0.0,0.0
2016-03-28,,,0.0032875953305604,AAPL,0.0,0.0,0.0
2016-03-29,,,0.0029953537483027,AAPL,0.0,0.0,0.05
2016-03-30,,,0.0057333945974616,AAPL,0.0,0.0,0.1
2016-03-31,,,0.0030086793441651,AAPL,0.0,0.0,0.1
2016-04-01,,,0.0021114039629189,AAPL,0.0,0.0,0.1
2016-04-04,0.3500000000000001,,0.0025354987401816,AAPL,0.0,0.0,0.1
2016-04-05,0.3,,0.0026745323901748,AAPL,0.0,0.0,0.1
2016-04-06,0.35,,0.0026950674973595,AAPL,0.0,0.0,0.1
2016-04-07,0.25,,0.0052334935005859,AAPL,0.0,0.0,0.1
2016-04-08,0.25,,0.004122280288367,AAPL,0.0,0.0,0.1
2016-04-11,0.3,,0.0016880178285659,AAPL,0.0,0.0,0.1
2016-04-12,0.25,,0.0025614845571096,AAPL,0.0,0.1,0.1
2016-04-13,0.25,,0.0025126924157077,AAPL,0.0,0.2,0.1
2016-04-14,0.3,,0.0033147171951605,AAPL,0.0,0.2,0.1
2016-04-15,0.2,0.0,0.0076315458868452,AAPL,0.0,0.2,0.15
2016-04-18,0.25,0.0,0.0095200877305159,AAPL,0.0,0.2,0.15
2016-04-19,0.25,0.0,0.0056414553529203,AAPL,0.2,0.2,0.15
2016-04-20,0.2,0.0,0.0021031804429085,AAPL,0.4,0.2,0.15
2016-04-21,0.25,0.0,0.003222339396782,AAPL,0.4,0.2,0.15
2016-04-22,0.25,0.0,0.0037916208901373,AAPL,0.4,0.2,0.15
2016-04-25,0.25,0.0,0.0037214151180359,AAPL,0.4,0.2,0.15
2016-04-26,0.2,0.05,0.0101294383343882,AAPL,0.2,0.1,0.1
2016-04-27,0.2,0.1,0.0056384304448729,AAPL,0.0,0.0,0.05
2016-04-28,0.2,0.1,0.0068580402068106,AAPL,0.0,0.0,0.05
2016-04-29,0.25,0.1,0.0078758965305806,AAPL,0.0,0.1,0.05
2016-05-02,0.3,0.1,0.0036842817771336,AAPL,0.0,0.1,0.05
2016-05-03,0.3,0.1,0.0066839382414245,AAPL,0.0,0.1,0.05
2016-05-04,0.3,0.1,0.0030308040073028,AAPL,0.0,0.1,0.05
2016-05-05,0.2,0.1,0.0077684078773717,AAPL,0.0,0.1,0.05
2016-05-06,0.2,0.1,0.0016953304947013,AAPL,0.2,0.1,0.05
2016-05-09,0.2,0.1,0.0033029426910223,AAPL,0.2,0.1,0.05
2016-05-10,0.1999999999999999,0.1,0.0033817433123383,AAPL,0.2,0.1,0.05
2016-05-11,0.1499999999999999,0.1,0.0042020929883816,AAPL,0.2,0.1,0.05
2016-05-12,0.2,0.1,0.0060817866560236,AAPL,0.2,0.1,0.05
2016-05-13,0.1499999999999999,0.15,0.0030141461499765,AAPL,0.0,0.0,0.0
2016-05-16,0.1999999999999999,0.15,0.0034349158381492,AAPL,0.0,0.0,0.0
2016-05-17,0.2,0.15,0.0015431015981125,AAPL,0.0,0.0,0.0
2016-05-18,0.1999999999999999,0.15,0.0028762689219207,AAPL,0.0,0.0,0.0
2016-05-19,0.1999999999999999,0.15,0.0035794441345412,AAPL,0.0,0.0,0.0
2016-05-20,0.1999999999999999,0.15,0.0016103284961846,AAPL,0.0,0.0,0.0
2016-05-23,0.1999999999999999,0.15,0.0036515314793357,AAPL,0.0,0.0,0.0
2016-05-24,0.25,0.1,0.0017901238895751,AAPL,0.0,0.0,0.0
2016-05-25,0.2,0.05,0.0032632041315954,AAPL,0.0,0.0,0.05
2016-05-26,0.2,0.05,0.00500764426292,AAPL,0.0,0.0,0.05
2016-05-27,0.2,0.05,0.0017510013183052,AAPL,0.0,0.0,0.05
2016-05-31,0.25,0.05,0.0036804381476765,AAPL,0.0,0.0,0.05
2016-06-01,0.25,0.05,0.0019901220732832,AAPL,0.0,0.0,0.05
2016-06-02,0.3,0.05,0.0033525272240224,AAPL,0.0,0.0,0.05
2016-06-03,0.25,0.05,0.002588643555148,AAPL,0.0,0.0,0.05
2016-06-06,0.25,0.05,0.0015834410941116,AAPL,0.0,0.0,0.05
2016-06-07,0.25,0.05,0.0022667658846155,AAPL,0.0,0.0,0.05
2016-06-08,0.2,0.05,0.0027719785444095,AAPL,0.0,0.0,0.05
2016-06-09,0.15,0.05,0.0029887030741398,AAPL,0.0,0.1,0.05
2016-06-10,0.25,0.05,0.0023483738789829,AAPL,0.0,0.1,0.05
2016-06-13,0.2,0.0,0.002231444536443,AAPL,0.0,0.1,0.05
2016-06-14,0.2999999999999999,0.0,0.0029955640563659,AAPL,0.0,0.1,0.05
2016-06-15,0.2999999999999999,0.0,0.0027702619247067,AAPL,0.0,0.1,0.05
2016-06-16,0.3,0.0,0.0027241252018327,AAPL,0.2,0.1,0.05
2016-06-17,0.25,0.0,0.0116525637625323,AAPL,0.2,0.1,0.05
2016-06-20,0.3,0.0,0.0032976920635577,AAPL,0.2,0.1,0.05
2016-06-21,0.3,0.0,0.0011848258160056,AAPL,0.2,0.1,0.05
2016-06-22,0.3999999999999999,0.0,0.0029602650540893,AAPL,0.2,0.1,0.05
2016-06-23,0.45,0.05,0.0024676826030709,AAPL,0.0,0.0,0.0
2016-06-24,0.35,0.05,0.0061101012121748,AAPL,0.0,0.0,0.05
2016-06-27,0.25,0.05,0.0050527507076415,AAPL,0.0,0.0,0.1
2016-06-28,0.2,0.05,0.0027527763723158,AAPL,0.0,0.0,0.1
2016-06-29,0.15,0.05,0.0023520819757473,AAPL,0.0,0.0,0.1
2016-06-30,0.2,0.05,0.0023049246494958,AAPL,0.0,0.0,0.1
2016-07-01,0.2,0.05,0.0038897281799099,AAPL,0.0,0.0,0.1
2016-07-05,0.2,0.05,0.004539502257874,AAPL,0.0,0.0,0.1
2016-07-06,0.2,0.05,0.0035532200925729,AAPL,0.0,0.0,0.1
2016-07-07,0.2,0.05,0.0016803685347631,AAPL,0.0,0.0,0.1
2016-07-08,0.25,0.05,0.0018685691453613,AAPL,0.0,0.0,0.1
2016-07-11,0.25,0.05,0.0030390499510814,AAPL,0.0,0.1,0.1
2016-07-12,0.35,0.05,0.0036750496476628,AAPL,0.0,0.2,0.1
2016-07-13,0.3,0.05,0.0028653047243078,AAPL,0.0,0.2,0.1
2016-07-14,0.25,0.05,0.0024707920901431,AAPL,0.0,0.2,0.1
2016-07-15,0.25,0.05,0.0034306191902293,AAPL,0.0,0.2,0.1
2016-07-18,0.3,0.05,0.0030296381439226,AAPL,0.2,0.2,0.1
2016-07-19,0.35,0.05,0.0032900136057203,AAPL,0.4,0.2,0.1
2016-07-20,0.4,0.05,0.0023325198975045,AAPL,0.4,0.2,0.1
2016-07-21,0.35,0.05,0.0032232287573098,AAPL,0.4,0.2,0.1
2016-07-22,0.25,0.0,0.0029147796995616,AAPL,0.4,0.2,0.1
2016-07-25,0.25,0.05,0.0035131164176557,AAPL,0.2,0.1,0.05
2016-07-26,0.3,0.1,0.0068735247074057,AAPL,0.0,0.0,0.0
2016-07-27,0.25,0.1,0.0040286311955164,AAPL,0.0,0.0,0.0
