top_risk_fraction,n_predictions,mean_predicted_risk,realized_miscoverage,failures_captured,total_failures,fraction_of_all_failures_captured
0.01,331,0.23100635369806363,0.20241691842900303,67,3246,0.020640788662969808
0.05,1652,0.21178204766073963,0.2009685230024213,332,3246,0.10227972889710413
0.1,3303,0.19994602397103725,0.18528610354223432,612,3246,0.18853974121996303
0.2,6605,0.18200440378189348,0.1571536714610144,1038,3246,0.3197781885397412
0.25,8256,0.17420974412417645,0.1509205426356589,1246,3246,0.3838570548367221
0.5,16512,0.14278814444797425,0.12487887596899225,2062,3246,0.6352433764633395
