test_year,n,actual_miscoverage,mean_predicted_probability,brier,logloss,auc,pr_auc,ece,calibration_intercept,calibration_slope
2021,6048,0.08531746031746032,0.10152128715215326,0.07763255300594028,0.28821961594188544,0.6136045320531145,0.13343385570440686,0.02403022416424239,-0.8892083640295378,0.666611003318634
2022,6024,0.11620185922974767,0.10652253456826608,0.10193512233674588,0.35734159864626786,0.5938322421380273,0.15871003998989802,0.020782596396450262,-0.797271601361685,0.5637568507595995
2023,6000,0.07,0.09846741246351463,0.0659295604778524,0.2568199228583754,0.5866385048643112,0.1069115899350525,0.03144455106132711,-1.2267241754929479,0.6040746369788995
2024,6048,0.10218253968253968,0.10288600599735527,0.09117143309672132,0.32782104877613605,0.5812713440254609,0.14657451634532348,0.020894592745718935,-0.8810057722359401,0.5858677986945013
2025,6000,0.10333333333333333,0.1001377108327828,0.08997797794202608,0.3204041381664954,0.6402813586761003,0.2072109092878074,0.020709161719605993,0.12735498284128838,1.0437048700442153
2026,2904,0.128099173553719,0.106263739008462,0.11185098598704744,0.38578496361179704,0.5649641577060932,0.15678270805910222,0.029010516021454748,-0.8947398469706278,0.4697184642845128
